id,name,type1,type2
1,Bulbasaur,grass,poison
2,Ivysaur,grass,poison
3,Venusaur,grass,poison
4,Charmander,fire,
5,Charmeleon,fire,
6,Charizard,fire,flying
7,Squirtle,water,
8,Wartortle,water,
9,Blastoise,water,
10,Caterpie,bug,
11,Metapod,bug,
12,Butterfree,bug,flying
13,Weedle,bug,poison
14,Kakuna,bug,poison
15,Beedrill,bug,poison
16,Pidgey,normal,flying
17,Pidgeotto,normal,flying
18,Pidgeot,normal,flying
19,Rattata,normal,grass
20,Ratreecate,normal,grass
21,Spearow,electric,flying
22,Fearow,electric,flying
23,Ekans,poison,fairy
24,Arbok,poison,fairy
25,Pikachu,electric,
26,Raichu,electric,
27,Sandshrew,ground,steel
28,Sandslash,ground,steel
29,Nidoran-F,poison,
30,Nidorina,poison,
31,Nidoqueen,poison,ground
32,Nidoran-M,poison,
33,Nidorino,poison,
34,Nidoking,poison,ground
35,Clefairy,fairy,
36,Clefable,fairy,
37,Vulpix,fire,electric
38,Ninetales,fire,electric
39,Jigglypuff,normal,ground
40,Wigglytuff,normal,ground
41,Zubat,poison,flying
42,Golbat,poison,flying
43,Oddish,grass,poison
44,Gloom,grass,poison
45,Vileplume,grass,poison
46,Paras,bug,grass
47,Parasect,bug,grass
48,Venonat,bug,poison
49,Venomoth,bug,poison
50,Diglett,ground,
51,Dugtrio,ground,
52,Meowth,normal,
53,Persian,normal,
54,Psyduck,water,
55,Golduck,water,psychic
56,Mankey,fighting,
57,Primeape,fighting,
58,Growlithe,fire,
59,Arcanine,fire,
60,Poliwag,water,
61,Poliwhirl,water,
62,Poliwrath,water,fighting
63,Abra,psychic,
64,Kadabra,psychic,
65,Alakazam,psychic,
66,Machop,fighting,
67,Machoke,fighting,
68,Machamp,fighting,
69,Bellsprout,grass,poison
70,Weepinbell,grass,poison
71,Victreebel,grass,poison
72,Tentacool,water,poison
73,Tentacruel,water,poison
74,Geodude,rock,ground
75,Graveler,rock,ground
76,Golem,rock,ground
77,Ponyta,fire,ice
78,Rapidash,fire,ice
79,Slowpoke,water,psychic
80,Slowbro,water,psychic
81,Magnemite,electric,steel
82,Magneton,electric,steel
83,Farfetchd,fighting,flying
84,Doduo,normal,flying
85,Dodrio,ground,flying
86,Seel,water,
87,Dewgong,water,ice
88,Grimer,poison,dark
89,Muk,poison,dark
90,Shellder,water,
91,Cloyster,water,ice
92,Gastly,ghost,poison
93,Haunter,ghost,poison
94,Gengar,ghost,poison
95,Onix,rock,ground
96,Drowzee,psychic,
97,Hypno,psychic,
98,Krabby,water,steel
99,Kingler,water,steel
100,Voltorb,electric,grass
101,Electrode,electric,grass
102,Exeggcute,grass,ground
103,Exeggutor,grass,ground
104,Cubone,ground,fairy
105,Marowak,ground,fairy
106,Hitmonlee,fighting,
107,Hitmonchan,fighting,
108,Lickitung,normal,
109,Koffing,poison,
110,Weezing,poison,
111,Rhyhorn,ground,rock
112,Rhydon,ground,rock
113,Chansey,normal,fairy
114,Tangela,grass,ghost
115,Kangaskhan,normal,
116,Horsea,water,
117,Seadra,water,
118,Goldeen,water,
119,Seaking,water,
120,Staryu,water,
121,Starmie,water,psychic
122,Mr Mime,psychic,
123,Scyther,bug,flying
124,Jynx,grass,water
125,Electabuzz,electric,dragon
126,Magmar,fire,water
127,Pinsir,bug,
128,Tauros,normal,
129,Magikarp,water,
130,Gyarados,water,flying
131,Lapras,water,ice
132,Kleavor,bug,rock
133,Eevee,normal,
134,Vaporeon,water,
135,Jolteon,electric,
136,Flareon,fire,
137,Porygon,normal,
138,Omanyte,ghost,water
139,Omastar,ghost,water
140,Kabuto,bug,dark
141,Kabutops,bug,dark
142,Aerodactyl,rock,dragon
143,Snorlax,normal,
145,Sirfetchd,fighting,
146,Stantler,normal,psychic
